claim_id,policy_id,customer_id,agent_id,claim_type,incident_date,claim_date,days_policy_to_incident,claim_amount,approved_amount,claim_status,num_claims_filed_by_customer,police_report_filed,witness_count,documents_altered_flag,fraud_flag,fraud_type
CLM000001,POL000783,CUST003138,AGT00340,Trip Cancellation/Medical,16-09-2025,30-09-2025,11,316906,278232,Approved,2,FALSE,0,FALSE,FALSE,None
CLM000002,POL000922,CUST000046,AGT00044,Vehicle Damage/Accident,04-09-2025,28-09-2025,125,408393,347349,Approved,3,FALSE,2,FALSE,FALSE,None
CLM000003,POL000208,CUST002583,AGT00054,Hospitalization,31-01-2022,27-02-2022,5,714452,568235,Approved,3,FALSE,3,FALSE,FALSE,None
CLM000004,POL000808,CUST001966,AGT00124,Vehicle Damage/Accident,17-06-2022,01-07-2022,115,467804,181013,Rejected,1,TRUE,2,FALSE,TRUE,Multiple/Duplicate Claims
CLM000005,POL000226,CUST001926,AGT00144,Vehicle Damage/Accident,29-11-2023,16-12-2023,412,35728,27717,Approved,3,TRUE,2,FALSE,FALSE,None
CLM000006,POL000701,CUST002259,AGT00088,Vehicle Damage/Accident,11-03-2025,20-03-2025,248,105107,79903,Approved,3,TRUE,3,FALSE,FALSE,None
CLM000007,POL000465,CUST000655,AGT00226,Vehicle Damage/Accident,01-01-2027,20-01-2027,518,909075,829282,Approved,1,FALSE,3,FALSE,FALSE,None
CLM000008,POL000358,CUST000991,AGT00264,Trip Cancellation/Medical,14-05-2025,17-05-2025,46,393547,372291,Approved,1,FALSE,1,FALSE,FALSE,None
CLM000009,POL000144,CUST001144,AGT00339,Vehicle Damage/Accident,20-01-2023,04-02-2023,136,122653,112364,Approved,3,TRUE,1,FALSE,FALSE,None
CLM000010,POL000354,CUST002061,AGT00146,Death Claim,11-10-2024,01-11-2024,69,1732194,1547057,Partially Approved,3,TRUE,1,FALSE,FALSE,None
CLM000011,POL000251,CUST000153,AGT00068,Vehicle Damage/Accident,14-01-2025,09-02-2025,122,53049,42033,Approved,3,TRUE,0,FALSE,FALSE,None
CLM000012,POL000376,CUST000333,AGT00111,Fire/Theft/Damage,22-06-2023,23-06-2023,146,1022065,933447,Approved,4,TRUE,0,FALSE,FALSE,None
CLM000013,POL000989,CUST002377,AGT00151,Hospitalization,15-08-2023,03-09-2023,6,823356,326476,Rejected,1,TRUE,2,FALSE,TRUE,Multiple/Duplicate Claims
CLM000014,POL000245,CUST001355,AGT00008,Hospitalization,05-07-2023,09-07-2023,47,1009508,77280,Under Investigation,3,FALSE,0,TRUE,TRUE,Fake Supporting Documents
CLM000015,POL000018,CUST001644,AGT00367,Vehicle Damage/Accident,17-08-2024,31-08-2024,219,534740,519918,Approved,1,FALSE,0,FALSE,FALSE,None
CLM000016,POL000715,CUST001739,AGT00037,Hospitalization,24-10-2022,11-11-2022,266,232568,168376,Approved,2,FALSE,3,FALSE,FALSE,None
CLM000017,POL000716,CUST002281,AGT00222,Death Claim,02-02-2023,14-02-2023,151,2709814,2305543,Partially Approved,1,FALSE,1,FALSE,FALSE,None
CLM000018,POL000485,CUST001394,AGT00154,Trip Cancellation/Medical,14-12-2023,20-12-2023,56,200157,170918,Approved,2,TRUE,3,FALSE,FALSE,None
CLM000019,POL000002,CUST000203,AGT00222,Death Claim,17-01-2025,27-01-2025,93,196094,186505,Partially Approved,1,TRUE,1,FALSE,FALSE,None
CLM000020,POL000950,CUST001047,AGT00357,Death Claim,25-09-2022,29-09-2022,18,2025120,1972305,Approved,1,FALSE,2,FALSE,FALSE,None
CLM000021,POL000376,CUST000333,AGT00111,Fire/Theft/Damage,31-07-2024,16-08-2024,551,1035003,1016272,Approved,4,TRUE,3,FALSE,FALSE,None
CLM000022,POL000914,CUST002346,AGT00077,Fire/Theft/Damage,03-08-2023,04-08-2023,365,558473,486375,Approved,3,FALSE,1,FALSE,FALSE,None
CLM000023,POL000566,CUST002724,AGT00257,Vehicle Damage/Accident,28-04-2024,01-05-2024,12,106659,96389,Approved,2,FALSE,3,FALSE,FALSE,None
CLM000024,POL000166,CUST000169,AGT00368,Vehicle Damage/Accident,10-04-2024,17-04-2024,32,535613,389152,Approved,1,TRUE,3,FALSE,FALSE,None
CLM000025,POL000865,CUST001099,AGT00338,Vehicle Damage/Accident,06-11-2026,09-11-2026,156,22348,18914,Approved,1,TRUE,1,FALSE,FALSE,None
CLM000026,POL000329,CUST000490,AGT00220,Fire/Theft/Damage,10-07-2024,08-08-2024,47,74029,71760,Approved,1,FALSE,0,FALSE,FALSE,None
CLM000027,POL000655,CUST002485,AGT00008,Hospitalization,15-01-2025,06-02-2025,490,1066179,892081,Approved,2,FALSE,3,FALSE,FALSE,None
CLM000028,POL000448,CUST002734,AGT00178,Hospitalization,23-09-2024,20-10-2024,253,590185,425451,Approved,1,TRUE,2,FALSE,FALSE,None
CLM000029,POL000092,CUST000704,AGT00308,Hospitalization,04-04-2023,19-04-2023,57,2324909,910571,Rejected,5,TRUE,0,FALSE,TRUE,Exaggerated Claim Amount
CLM000030,POL000520,CUST002616,AGT00141,Vehicle Damage/Accident,20-12-2022,26-12-2022,1,359423,297908,Approved,2,TRUE,3,FALSE,FALSE,None
CLM000031,POL000252,CUST001236,AGT00043,Hospitalization,01-02-2026,17-02-2026,289,888511,685271,Approved,2,FALSE,2,FALSE,FALSE,None
CLM000032,POL000942,CUST000915,AGT00310,Vehicle Damage/Accident,24-08-2022,10-09-2022,99,268763,219764,Approved,4,TRUE,2,FALSE,FALSE,None
CLM000033,POL000612,CUST000086,AGT00301,Hospitalization,14-10-2022,16-10-2022,185,1144138,915182,Approved,3,FALSE,1,FALSE,FALSE,None
CLM000034,POL000039,CUST002836,AGT00109,Vehicle Damage/Accident,25-06-2024,05-07-2024,60,216007,86039,Partially Approved,3,TRUE,0,FALSE,TRUE,Exaggerated Claim Amount
CLM000035,POL000436,CUST002575,AGT00316,Trip Cancellation/Medical,24-03-2024,04-04-2024,27,55151,8309,Under Investigation,3,FALSE,0,FALSE,TRUE,Staged Accident
CLM000036,POL000648,CUST000528,AGT00095,Vehicle Damage/Accident,23-05-2023,20-06-2023,202,88486,85372,Approved,3,FALSE,1,FALSE,FALSE,None
CLM000037,POL000362,CUST002300,AGT00281,Hospitalization,15-07-2025,11-08-2025,107,345504,313652,Partially Approved,1,FALSE,3,FALSE,FALSE,None
CLM000038,POL000946,CUST000493,AGT00326,Vehicle Damage/Accident,02-04-2025,08-04-2025,48,315061,279463,Approved,5,TRUE,3,FALSE,FALSE,None
CLM000039,POL000562,CUST002973,AGT00273,Hospitalization,08-06-2023,26-06-2023,26,724951,639363,Partially Approved,2,TRUE,2,FALSE,FALSE,None
