payment_id,policy_id,customer_id,agent_id,payment_date,payment_amount,payment_mode,payment_status,receipt_number,is_duplicate_receipt,premium_remitted_to_insurer,remittance_delay_days,fraud_flag,fraud_type
PAY000001,POL000667,CUST001213,AGT00297,2026-03-22,46751,NEFT,Success,RCPT960563,False,True,1,False,None
PAY000002,POL000563,CUST000754,AGT00153,2023-03-25,14574,Card,Success,RCPT965747,False,True,1,False,None
PAY000003,POL000418,CUST002513,AGT00160,2025-11-23,120295,UPI,Success,RCPT163734,False,True,2,False,None
PAY000004,POL000284,CUST002468,AGT00100,2026-03-24,114808,Cheque,Success,RCPT636452,False,True,0,False,None
PAY000005,POL000585,CUST000344,AGT00043,2024-04-03,17804,Card,Success,RCPT153184,False,True,1,False,None
PAY000006,POL000328,CUST001361,AGT00288,2024-10-14,18152,Cheque,Success,RCPT560298,False,True,1,False,None
PAY000007,POL000341,CUST001170,AGT00250,2023-02-11,19850,Cheque,Success,RCPT191964,False,False,145,True,Premium Diversion by Agent
PAY000008,POL000622,CUST000988,AGT00377,2026-05-01,11528,UPI,Success,RCPT321996,False,True,2,False,None
PAY000009,POL000798,CUST002946,AGT00037,2025-06-11,114648,Card,Success,RCPT201678,False,True,1,False,None
PAY000010,POL000221,CUST002080,AGT00145,2024-04-09,19567,Cheque,Success,RCPT977473,False,True,0,False,None
PAY000011,POL000009,CUST000406,AGT00369,2026-07-09,4387,Card,Success,RCPT178709,False,True,2,False,None
PAY000012,POL000909,CUST001672,AGT00070,2024-03-20,64844,Card,Success,RCPT653868,False,True,1,False,None
PAY000013,POL000082,CUST002183,AGT00364,2026-07-23,25009,NEFT,Success,RCPT587403,False,True,0,False,None
PAY000014,POL000832,CUST000704,AGT00214,2023-03-23,14066,UPI,Success,RCPT812152,False,True,2,False,None
PAY000015,POL000294,CUST001444,AGT00295,2024-11-12,54843,Card,Success,RCPT516534,False,True,2,False,None
PAY000016,POL000375,CUST003084,AGT00299,2022-06-25,82393,NEFT,Success,RCPT769987,False,True,1,False,None
PAY000017,POL000534,CUST000010,AGT00138,2024-02-15,22559,Cheque,Success,RCPT433758,False,True,2,False,None
PAY000018,POL000415,CUST001169,AGT00036,2026-04-25,14651,UPI,Success,RCPT529307,False,True,1,False,None
PAY000019,POL000099,CUST000079,AGT00268,2024-07-28,115529,NEFT,Success,RCPT885995,False,True,2,False,None
PAY000020,POL000682,CUST000177,AGT00326,2022-06-12,11318,Card,Success,RCPT304974,False,True,0,False,None
PAY000021,POL000702,CUST003036,AGT00218,2026-06-03,15193,UPI,Success,RCPT638732,False,True,0,False,None
PAY000022,POL000618,CUST000620,AGT00302,2023-09-26,25125,Cheque,Success,RCPT379891,False,True,2,False,None
PAY000023,POL000832,CUST000704,AGT00214,2023-04-01,12916,Cheque,Success,RCPT848367,False,True,1,False,None
PAY000024,POL000970,CUST002085,AGT00145,2023-10-13,10236,Card,Success,RCPT764589,False,True,2,False,None
PAY000025,POL000777,CUST002612,AGT00069,2026-08-02,6343,NEFT,Success,RCPT213332,False,True,1,False,None
