policy_id,customer_id,agent_id,policy_type,issue_date,premium_amount,sum_insured,policy_status,channel,state,free_look_period_days,free_look_cancelled,backdated_flag,premium_actually_collected,fraud_flag,fraud_type
POL000001,CUST000680,AGT00223,Health,30-10-2024,5594,279700,Active,Broker,Chhattisgarh,15,FALSE,FALSE,TRUE,FALSE,None
POL000002,CUST000203,AGT00222,Life,16-10-2024,51638,3046642,Cancelled,Agent,Andhra Pradesh,15,FALSE,FALSE,TRUE,FALSE,None
POL000003,CUST001130,AGT00256,Health,13-02-2026,35690,1713120,Active,Agent,Odisha,15,FALSE,FALSE,TRUE,FALSE,None
POL000004,CUST003194,AGT00141,Health,14-10-2024,21524,538100,Active,Online,Odisha,15,FALSE,FALSE,TRUE,FALSE,None
POL000005,CUST000318,AGT00171,Health,30-09-2023,32469,1818264,Matured,Agent,Kerala,15,FALSE,FALSE,TRUE,FALSE,None
POL000006,CUST001206,AGT00126,Travel,24-09-2022,5158,211478,Active,Broker,Sikkim,15,FALSE,FALSE,TRUE,FALSE,None
POL000007,CUST001639,AGT00309,Health,29-03-2022,31206,1747536,Active,Agent,Rajasthan,15,FALSE,FALSE,TRUE,FALSE,None
POL000008,CUST001797,AGT00049,Auto,31-03-2023,21072,337152,Active,Agent,Manipur,15,FALSE,FALSE,TRUE,FALSE,None
POL000009,CUST000406,AGT00369,Travel,08-07-2026,4461,89220,Active,Online,Madhya Pradesh,15,FALSE,FALSE,TRUE,FALSE,None
POL000010,CUST003034,AGT00238,Auto,06-04-2026,21460,343360,Active,Agent,Karnataka,15,FALSE,FALSE,TRUE,FALSE,None
POL000011,CUST002997,AGT00338,Property,17-03-2025,6774,379344,Matured,Bancassurance,Manipur,15,FALSE,TRUE,TRUE,TRUE,Backdated Policy Issuance
POL000012,CUST003142,AGT00160,Auto,27-01-2024,12594,390414,Active,Broker,Goa,15,FALSE,FALSE,TRUE,FALSE,None
POL000013,CUST002543,AGT00127,Life,07-03-2023,104093,5621022,Active,Agent,Mizoram,15,FALSE,FALSE,TRUE,FALSE,None
POL000014,CUST000679,AGT00343,Auto,29-06-2024,9030,252840,Cancelled,Agent,Telangana,15,FALSE,FALSE,TRUE,FALSE,None
POL000015,CUST001271,AGT00036,Travel,30-08-2022,10329,247896,Active,Agent,Odisha,15,FALSE,FALSE,TRUE,FALSE,None
POL000016,CUST001890,AGT00043,Health,03-12-2023,10318,608762,Active,Agent,Himachal Pradesh,15,FALSE,FALSE,TRUE,FALSE,None
POL000017,CUST001548,AGT00115,Auto,20-06-2024,10717,503699,Active,Online,Tripura,15,FALSE,FALSE,TRUE,FALSE,None
POL000018,CUST001644,AGT00367,Auto,11-01-2024,16331,914536,Cancelled,Broker,Bihar,15,FALSE,FALSE,TRUE,FALSE,None
POL000019,CUST001360,AGT00238,Health,07-03-2022,20405,530530,Active,Agent,Haryana,15,FALSE,FALSE,TRUE,FALSE,None
POL000020,CUST001446,AGT00208,Life,29-08-2024,83427,3837642,Active,Agent,Jharkhand,15,FALSE,FALSE,TRUE,FALSE,None
POL000021,CUST000835,AGT00264,Health,13-01-2023,57763,2194994,Active,Agent,Meghalaya,15,FALSE,FALSE,TRUE,FALSE,None
POL000022,CUST002242,AGT00156,Auto,23-01-2023,23615,661220,Active,Agent,Karnataka,15,FALSE,FALSE,TRUE,FALSE,None
POL000023,CUST002356,AGT00290,Health,20-02-2024,13062,248178,Active,Online,Arunachal Pradesh,15,FALSE,FALSE,TRUE,FALSE,None
POL000024,CUST001669,AGT00149,Health,28-07-2022,22424,426056,Lapsed,Online,Odisha,15,FALSE,FALSE,TRUE,FALSE,None
POL000025,CUST001931,AGT00315,Auto,09-12-2025,16612,764152,Active,Agent,Mizoram,15,FALSE,FALSE,TRUE,FALSE,None
POL000026,CUST002554,AGT00105,Auto,16-01-2022,8728,514952,Lapsed,Agent,Mizoram,15,FALSE,FALSE,TRUE,FALSE,None
POL000027,CUST000281,AGT00108,Life,13-08-2025,41743,1961921,Active,Bancassurance,Odisha,15,FALSE,FALSE,TRUE,FALSE,None
POL000028,CUST002723,AGT00196,Travel,12-09-2024,8299,149382,Active,Agent,Mizoram,15,FALSE,FALSE,TRUE,FALSE,None
POL000029,CUST001814,AGT00162,Auto,28-05-2025,17078,751432,Active,Broker,West Bengal,15,FALSE,FALSE,TRUE,FALSE,None
POL000030,CUST000933,AGT00245,Property,02-01-2023,23779,1307845,Matured,Agent,Maharashtra,15,FALSE,FALSE,TRUE,FALSE,None
POL000031,CUST002763,AGT00138,Auto,19-02-2024,17468,541508,Cancelled,Broker,Jharkhand,15,FALSE,FALSE,TRUE,FALSE,None
POL000032,CUST000608,AGT00088,Health,06-06-2025,8236,140012,Cancelled,Online,Karnataka,15,TRUE,FALSE,TRUE,TRUE,Free-Look Period Abuse
POL000033,CUST000483,AGT00179,Health,13-07-2026,8680,234360,Lapsed,Agent,Madhya Pradesh,15,FALSE,TRUE,TRUE,TRUE,Backdated Policy Issuance
POL000034,CUST001247,AGT00209,Auto,16-03-2023,17461,1012738,Lapsed,Broker,Karnataka,15,FALSE,FALSE,TRUE,FALSE,None
POL000035,CUST001773,AGT00053,Health,21-11-2023,53151,2657550,Active,Online,Tripura,15,FALSE,FALSE,FALSE,TRUE,Fake Policy - No Premium Collected
POL000036,CUST002165,AGT00208,Property,05-04-2026,17283,553056,Active,Agent,Goa,15,FALSE,FALSE,TRUE,FALSE,None
POL000037,CUST003016,AGT00122,Travel,13-01-2026,4590,169830,Active,Agent,Chhattisgarh,15,FALSE,FALSE,TRUE,FALSE,None
POL000038,CUST000192,AGT00149,Auto,25-11-2024,20785,1018465,Active,Online,Arunachal Pradesh,15,FALSE,FALSE,FALSE,TRUE,Fake Policy - No Premium Collected
POL000039,CUST002836,AGT00109,Auto,26-04-2024,3817,179399,Active,Online,Uttarakhand,15,FALSE,FALSE,TRUE,FALSE,None
POL000040,CUST002666,AGT00355,Travel,26-02-2023,6622,331100,Active,Online,Telangana,15,FALSE,FALSE,TRUE,FALSE,None
POL000041,CUST002018,AGT00256,Auto,02-07-2026,23946,742326,Active,Online,Telangana,15,FALSE,FALSE,TRUE,FALSE,None
POL000042,CUST002564,AGT00103,Life,27-04-2025,97410,5162730,Active,Online,Gujarat,15,FALSE,FALSE,TRUE,FALSE,None
POL000043,CUST000307,AGT00243,Auto,16-04-2025,5438,261024,Cancelled,Broker,Maharashtra,15,TRUE,FALSE,TRUE,FALSE,None
POL000044,CUST000532,AGT00326,Health,31-08-2023,10693,278018,Active,Online,Mizoram,15,FALSE,FALSE,TRUE,FALSE,None
POL000045,CUST000122,AGT00151,Auto,31-08-2025,9641,183179,Matured,Agent,Himachal Pradesh,15,FALSE,FALSE,TRUE,TRUE,Fronting / Straw Policyholder
POL000046,CUST002697,AGT00317,Property,20-01-2022,15767,851418,Active,Bancassurance,Odisha,15,FALSE,FALSE,TRUE,FALSE,None
POL000047,CUST000592,AGT00059,Property,07-11-2023,21911,898351,Active,Agent,Punjab,15,FALSE,FALSE,TRUE,FALSE,None
POL000048,CUST002918,AGT00313,Auto,17-01-2023,24864,1342656,Cancelled,Agent,Karnataka,15,FALSE,FALSE,TRUE,FALSE,None
POL000049,CUST001476,AGT00202,Property,01-09-2023,38794,1047438,Active,Online,Bihar,15,FALSE,FALSE,TRUE,FALSE,None
POL000050,CUST000059,AGT00087,Health,23-05-2022,34004,1360160,Active,Agent,Kerala,15,FALSE,FALSE,TRUE,FALSE,None
POL000051,CUST002349,AGT00152,Auto,03-03-2022,20063,561764,Active,Agent,Jharkhand,15,FALSE,FALSE,FALSE,TRUE,Fake Policy - No Premium Collected
POL000052,CUST002601,AGT00375,Property,19-06-2025,21981,1011126,Active,Agent,Goa,15,FALSE,FALSE,TRUE,FALSE,None
POL000053,CUST001574,AGT00300,Health,26-08-2022,50875,1271875,Active,Online,Bihar,15,FALSE,FALSE,TRUE,FALSE,None
POL000054,CUST001141,AGT00216,Auto,28-02-2025,15222,791544,Active,Bancassurance,Jharkhand,15,FALSE,FALSE,TRUE,FALSE,None
POL000055,CUST001811,AGT00043,Auto,17-06-2026,5177,155310,Active,Online,Himachal Pradesh,15,FALSE,FALSE,TRUE,FALSE,None
POL000056,CUST001806,AGT00156,Travel,15-06-2026,7791,280476,Cancelled,Online,Meghalaya,15,FALSE,FALSE,TRUE,FALSE,None
POL000057,CUST003199,AGT00103,Property,27-07-2026,4688,140640,Active,Agent,Manipur,15,FALSE,FALSE,TRUE,FALSE,None
POL000058,CUST000399,AGT00025,Property,20-02-2025,29365,792855,Active,Agent,Haryana,15,FALSE,FALSE,TRUE,FALSE,None
POL000059,CUST002563,AGT00202,Auto,03-01-2026,16105,418730,Active,Agent,Goa,15,FALSE,FALSE,TRUE,FALSE,None
POL000060,CUST002853,AGT00339,Property,15-07-2024,21739,695648,Active,Agent,Jharkhand,15,FALSE,FALSE,TRUE,FALSE,None
POL000061,CUST002546,AGT00254,Auto,08-12-2022,4646,199778,Cancelled,Agent,Himachal Pradesh,15,FALSE,FALSE,TRUE,FALSE,None
POL000062,CUST000942,AGT00097,Travel,13-12-2025,6437,205984,Active,Agent,Punjab,15,FALSE,FALSE,TRUE,FALSE,None
POL000063,CUST000528,AGT00215,Auto,12-07-2026,12864,205824,Cancelled,Agent,Tripura,15,FALSE,FALSE,TRUE,FALSE,None
POL000064,CUST002446,AGT00361,Health,31-03-2023,57665,922640,Active,Online,Bihar,15,FALSE,FALSE,TRUE,FALSE,None
POL000065,CUST001775,AGT00273,Health,06-05-2025,22528,382976,Cancelled,Broker,Haryana,15,FALSE,FALSE,TRUE,FALSE,None
POL000066,CUST001422,AGT00257,Property,09-10-2022,34709,1492487,Active,Bancassurance,Sikkim,15,FALSE,FALSE,TRUE,FALSE,None
POL000067,CUST001670,AGT00369,Property,04-06-2024,26885,591470,Active,Online,Himachal Pradesh,15,FALSE,FALSE,TRUE,FALSE,None
POL000068,CUST001551,AGT00306,Health,21-10-2024,20218,505450,Lapsed,Agent,Chhattisgarh,15,FALSE,FALSE,TRUE,FALSE,None
POL000069,CUST000436,AGT00052,Health,24-12-2023,48968,1273168,Lapsed,Online,Bihar,15,FALSE,FALSE,TRUE,FALSE,None
POL000070,CUST000840,AGT00134,Property,17-09-2025,24592,1131232,Active,Agent,Gujarat,15,FALSE,FALSE,TRUE,FALSE,None
POL000071,CUST000360,AGT00369,Auto,20-05-2025,11187,201366,Matured,Online,Nagaland,15,FALSE,FALSE,TRUE,FALSE,None
POL000072,CUST001153,AGT00187,Property,28-03-2022,16976,390448,Active,Broker,Uttarakhand,15,FALSE,FALSE,TRUE,FALSE,None
POL000073,CUST000864,AGT00042,Travel,27-10-2023,13394,508972,Active,Online,Mizoram,15,FALSE,FALSE,TRUE,FALSE,None
POL000074,CUST002682,AGT00176,Auto,11-05-2024,23332,699960,Active,Bancassurance,Tripura,15,FALSE,FALSE,TRUE,FALSE,None
POL000075,CUST001651,AGT00260,Auto,02-03-2022,21429,664299,Lapsed,Online,Goa,15,FALSE,FALSE,TRUE,FALSE,None
POL000076,CUST001733,AGT00379,Auto,07-03-2024,14140,509040,Matured,Online,Andhra Pradesh,15,FALSE,FALSE,TRUE,FALSE,None
POL000077,CUST001246,AGT00125,Auto,05-04-2022,21011,441231,Active,Agent,Punjab,15,FALSE,FALSE,TRUE,TRUE,Fronting / Straw Policyholder
POL000078,CUST002262,AGT00194,Health,25-02-2024,47975,1151400,Active,Bancassurance,Arunachal Pradesh,15,FALSE,FALSE,TRUE,FALSE,None
POL000079,CUST000916,AGT00337,Life,26-04-2026,104429,4490447,Active,Agent,Nagaland,15,FALSE,FALSE,TRUE,FALSE,None
POL000080,CUST002640,AGT00136,Health,16-03-2025,31709,1585450,Active,Bancassurance,Nagaland,15,FALSE,FALSE,TRUE,FALSE,None
POL000081,CUST001799,AGT00041,Auto,23-06-2025,12127,460826,Active,Agent,Uttar Pradesh,15,FALSE,FALSE,TRUE,FALSE,None
POL000082,CUST002183,AGT00364,Life,26-07-2026,26088,730464,Active,Agent,Gujarat,15,FALSE,FALSE,TRUE,FALSE,None
POL000083,CUST002802,AGT00186,Life,18-08-2024,73377,2054556,Active,Broker,Andhra Pradesh,15,FALSE,FALSE,TRUE,FALSE,None
POL000084,CUST000386,AGT00191,Travel,24-10-2022,11589,451971,Active,Agent,Meghalaya,15,FALSE,FALSE,TRUE,FALSE,None
POL000085,CUST001327,AGT00234,Auto,20-02-2025,18627,670572,Active,Broker,Uttarakhand,15,FALSE,FALSE,FALSE,TRUE,Fake Policy - No Premium Collected
POL000086,CUST001806,AGT00001,Life,25-11-2023,120833,4470821,Lapsed,Agent,Uttarakhand,15,FALSE,FALSE,TRUE,FALSE,None
POL000087,CUST001586,AGT00355,Travel,19-01-2026,14752,678592,Active,Broker,Andhra Pradesh,15,FALSE,FALSE,TRUE,FALSE,None
POL000088,CUST001213,AGT00138,Health,03-02-2023,28382,1135280,Active,Online,Kerala,15,FALSE,FALSE,TRUE,FALSE,None
POL000089,CUST001550,AGT00150,Health,03-08-2024,50217,2058897,Active,Online,Gujarat,15,FALSE,FALSE,TRUE,FALSE,None
POL000090,CUST000389,AGT00068,Auto,08-06-2025,6311,372349,Active,Agent,Jharkhand,15,FALSE,FALSE,TRUE,FALSE,None
POL000091,CUST002792,AGT00144,Property,18-06-2023,15073,391898,Active,Agent,Odisha,15,FALSE,FALSE,TRUE,FALSE,None
POL000092,CUST000704,AGT00308,Health,06-02-2023,35348,1166484,Lapsed,Broker,Maharashtra,15,FALSE,FALSE,TRUE,FALSE,None
POL000093,CUST002973,AGT00306,Travel,04-06-2026,12201,402633,Matured,Agent,Telangana,15,FALSE,FALSE,TRUE,FALSE,None
POL000094,CUST001739,AGT00358,Property,10-05-2022,19688,945024,Lapsed,Agent,Manipur,15,FALSE,FALSE,TRUE,FALSE,None
POL000095,CUST002821,AGT00151,Health,19-10-2022,27555,1267530,Active,Online,Mizoram,15,FALSE,TRUE,TRUE,TRUE,Backdated Policy Issuance
POL000096,CUST003185,AGT00266,Health,03-10-2022,33071,1422053,Active,Agent,Chhattisgarh,15,FALSE,FALSE,TRUE,FALSE,None
POL000097,CUST000864,AGT00191,Auto,30-06-2024,16060,562100,Active,Agent,Uttarakhand,15,FALSE,FALSE,TRUE,FALSE,None
POL000098,CUST001060,AGT00308,Auto,31-10-2025,6458,316442,Cancelled,Agent,Manipur,15,TRUE,FALSE,TRUE,FALSE,None
